"recipe_name_original","markup_recipe_name_original","recipe_name_interpreted","restriction","topic_sum","subtopic_sum","named_individuals_sum","date_of_recipe_YEAR","source_book","unique_recipe_code","costs_prices","discusses_durability","discusses_quality","illustration","swatch"
"Madder Carmine Washed & Dried for Water.","Madder Carmine Washed &amp; Dried for Water.","madder ""carmine"" pigment","Restricted","pigment manufacture, watercolour paint manufacture, notes on grinding, notes on washing, quantities","madder ""carmine""",,"1875","A4","A4P036AL01",,"no","no","no","no"
"Indian Red Levigated for Water.","Indian Red Levigated for Water.","Indian red",,"pigment manufacture, tools, equipment, notes on grinding, notes on washing, notes on drying, quantities","Indian red, glycerine","Price's","1875","A4","A4P037AL01",,"no","no","no","no"
"Strong Madder Lake Prepared for Water","Strong Madder Lake Prepared for Water","madder lake for watercolour","Restricted","pigment manufacture, watercolour paint manufacture, notes on grinding, notes on washing, quantities, chemical test","madder",,"1875","A4","A4P038AL01",,"no","no","no","no"
"Ultramarine Ash Ground &c. for Water","Ultramarine Ash Ground &amp;c. for Water","ultramarine : second quality & ashes","Restricted","pigment manufacture, watercolour paint manufacture, notes on grinding, spirit colours, quantities","ultramarine ashes",,"1876","A4","A4P039AL01",,"no","no","no","no"
"Genuine Ultramarine Ground & Washed.","Gen<em>ui</em>ne Ultramarine Ground &amp; Washed.","ultramarine pigment","Restricted","pigment manufacture, watercolour paint manufacture, notes on grinding, [costing], notes on washing, quantities","ultramarine",,"1876","A4","A4P040AL01","costs","no","no","no","no"
"Cadmium Yellow Ground, Washed, & Dried for Water","Cadmium Yellow Ground, Washed, &amp; Dried for Water","cadmium yellow pigment",,"pigment manufacture, watercolour paint manufacture, notes on grinding, notes on washing, quantities, [costing]","cadmium yellow",,"1876","A4","A4P041AL01","costs","no","no","no","no"
"Ultramarine Ash","Ultramarine Ash","ultramarine : second quality & ashes","Restricted","pigment manufacture, notes on soaking, notes on grinding, notes on washing, quantities","ultramarine ashes",,"1876","A4","A4P042AL01",,"no","no","no","no"
"Emerald Green Ground & Dried for Water","Emerald Green Ground &amp; Dried for Water","emerald green pigment",,"pigment manufacture, watercolour paint manufacture, notes on grinding, tools, equipment, quantities","emerald green","Berger, L. ","1876","A4","A4P043AL01",,"no","no","no","no"
"Raw Sienna Ground in Turps for Water Colour use.","Raw Sienna Ground in Turps for Water Colour use.","raw Sienna : watercolour",,"pigment manufacture, watercolour paint manufacture, notes on grinding, notes on washing, tools, equipment, notes on drying","raw Sienna",,"1877","A4","A4P044AL01",,"no","no","no","no"
"Cerulean Blue Ground for Water, Oil or Spirits","Cerulean Blue Ground for Water, Oil or Spirits","cobalt stannate blue pigment",,"pigment manufacture, watercolour paint manufacture, notes on grinding, notes on washing, quantities, measures","cobalt stannate blue","Royal Saxon Blue Works","1877","A4","A4P045AL01",,"no","no","no","no"
"Genuine Ultramarine Ground & Washed for Water.","Genuine Ultramarine Ground &amp; Washed for Water.","ultramarine pigment","Restricted","pigment manufacture, watercolour paint manufacture, notes on grinding, notes on washing, notes on drying, [costing]","ultramarine",,"1877","A4","A4P046AL01","costs","no","no","no","no"
"Viridian. Ground & Washed for Water","Viridian. Ground &amp; Washed for Water","viridian : watercolour",,"pigment manufacture, watercolour paint manufacture, notes on grinding, notes on washing, notes on drying, quantities","viridian",,"1877","A4","A4P047AL01",,"no","no","no","no"
"Yellow Lake Ground in Methylated [delta L]","Yellow Lake Ground in Methy<em>lated </em>[delta L]","quercitron yellow [probably] spirit colour",,"pigment manufacture, spirit colours, notes on grinding, notes on drying, quantities","yellow lakes",,"1878","A4","A4P048AL01",,"no","no","no","no"
"Crimson Lake Crushed & Dried for Water","Crimson Lake Crushed &amp; Dried for Water","cochineal lake pigment",,"pigment manufacture, watercolour paint manufacture, notes on grinding, notes on drying","cochineal",,"1878","A4","A4P049AL01",,"no","no","no","no"
"Strong Madder Lake Prepared for Water","Strong Madder Lake Prepared for Water","madder lake for watercolour","Restricted","pigment manufacture, watercolour paint manufacture, notes on grinding, notes on drying","madder",,"1878","A4","A4P050AL01",,"no","no","no","no"
"Oxide of Chromium Levigated for Water","Oxide of Chrom<em>iu</em>m Levigated for Water","chrome oxide green watercolour","Restricted","pigment manufacture, watercolour paint manufacture, notes on grinding, UNCLEAR, materials definition, quantities","oxide of chromium, glycerine","Price's","1878","A4","A4P051AL01",,"no","no","no","no"
"Strong Madder Lake Ground in Turps & Dried for Water Colour Use.","Strong Madder Lake Ground in Turps &amp; Dried for Water Colour Use.","madder lake for watercolour","Restricted","pigment manufacture, materials definition, notes on grinding, related recipies, notes on drying, quantities","madder pigment",,"1878","A4","A4P052AL01",,"no","no","no","no"
"Strong Madder Lake Ground in Turps & Dried for Water Colour Use.","Strong Madder Lake Ground in Turps &amp; Dried for Water Colour Use.","madder lake for watercolour","Restricted","watercolour paint manufacture, pigment manufacture, related recipies, notes on grinding, tools, equipment, notes on drying","madder lake",,"1879","A4","A4P052AL18",,"no","no","no","no"
"Italian Pink Prepared for Water","Italian Pink Prepared for Water","quercitron or Rhamnus yellow lake",,"pigment manufacture, watercolour paint manufacture, notes on grinding, quantities, notes on drying","quercitron / Rhamnus yellow",,"1878","A4","A4P053AL01",,"no","no","no","no"
"Scarlet Extract of Vermilion","Scarlet Extract of Vermilion","vermilion pigment","Restricted","pigment manufacture, notes on grinding, notes on washing, materials definition, measures, quantities","vermilion, glycerine","Stotz & Winter, Price's","1879","A4","A4P054AL01",,"no","no","no","no"
"Strong Madder Lake Prepared for Water","Strong Madder Lake Prep<em>are</em>d for Water","madder lake for watercolour","Restricted","pigment manufacture, watercolour paint manufacture§, notes on grinding, notes on washing, notes on drying, quantities","madder lake",,"1879","A4","A4P055AL01",,"no","no","no","no"
"Mars Orange Ground, Washed & Dried for Water","Mars Orange Ground, Washed &amp; Dried for Water","burnt ochre of Savoy pigment",,"pigment manufacture, watercolour paint manufacture§, notes on grinding, notes on drying, quantities, notes on people or companies","Mars pigments, ochres","Harding, S & C","1879","A4","A4P056AL01",,"no","no","no","no"
"Pure Scarlet. Ground & Dried for Moists","Pure Scarlet. Ground &amp; Dried for Moists","mixed cochineal-vermilion pigment",,"pigment manufacture, watercolour paint manufacture, notes on grinding, moist colours, mixed pigments, notes on drying","cochineal, vermilion",,"1879","A4","A4P057AL01",,"no","no","no","no"
"Lemon Yellow Levigated for Water, Oil, or Spirits","Lemon Yellow Levigated for Water, Oil, or Spirits","lemon yellow [probably chrome] pigment",,"pigment manufacture, watercolour paint manufacture, notes on grinding, oil paint manufacture, spirit colours, notes on drying","lemon yellow",,"1879","A4","A4P058AL01",,"no","no","no","no"
"Cobalt, Ground, Washed & Dried for Oil or Spirits.","Cobalt, Gro<em>un</em>d, Wash<em>e</em>d &amp; Dried for Oil or Spirits.","cobalt [blue?] : grinding",,"pigment manufacture, watercolour paint manufacture, notes on grinding, oil paint manufacture, [costing], notes on use","cobalt [blue?]","Auto Co","1877","A4","A4P059AL01","costs","no","no","no","no"
"Cerulean Blue, Ground for Water, Oil, or Spirits.","Cerulean Blue, Gr<em>oun</em>d for Water, Oil, or Spirits.","cobalt stannate blue pigment",,"pigment manufacture, watercolour paint manufacture, notes on grinding, oil paint manufacture, spirit colours, tools, equipment","cobalt stannate blue",,"1877","A4","A4P060AL01","costs","no","no","no","no"
"Chinese White for Bottles.","Chinese White for Bottles.","zinc white","Restricted","pigment manufacture, watercolour, moist, notes on grinding, quantities","zinc white","A. H. N.","1879","A4","A4P061AL01",,"no","no","no","no"
"Chinese White for Bottles.","Chinese White for Bottles.","zinc white","Restricted","pigment manufacture, notes on grinding, notes on heating, quantities, notes on storage","zinc white",,"1879","A4","A4P062AL01",,"no","yes","no","no"
"Chinese White for Bottles.","Chinese White for Bottles.","zinc white",,"pigment manufacture, notes on grinding, quantities, related recipies","zinc white",,"1879","A4","A4P063AL01",,"no","no","no","no"
"Chinese White for Bottles.","Chinese White for Bottles.","zinc white","Restricted","pigment manufacture, watercolour, moist, notes on grinding, notes on heating, quantities, quality evaluation","zinc white","A. H. N.",,"A4","A4P064AL01",,"no","yes","no","no"
"Chinese White","Chinese White","zinc white","Restricted","pigment manufacture, watercolour paint manufacture, notes on grinding, notes on heating, quantities, related recipies","zinc white",,,"A4","A4P065AL01",,"no","no","no","no"
"Chinese White","Chinese White","zinc white",,"watercolour paint manufacture, watercolour, moist, related recipies, quantities","Chinese white",,"1879","A4","A4P065BL01",,"no","no","no","no"
"Chinese White","Chinese White","zinc white",,"watercolour paint manufacture, watercolour, moist, related recipies, quantities","zinc white",,"1879","A4","A4P065BL04",,"no","no","no","no"
"Chinese White","Chinese White","zinc white",,"watercolour paint manufacture, watercolour, moist, related recipies, quantities","zinc white",,,"A4","A4P065BL07",,"no","no","no","no"
"Chinese White.","Chinese White.","zinc white","Restricted","pigment manufacture, notes on grinding, watercolour paint manufacture, moist colours, notes on heating, quantities","zinc white",,"1877","A4","A4P066AL01",,"no","no","no","no"
"Chinese White","Chinese White","zinc white",,"watercolour paint manufacture, watercolour, moist, related recipies, quantities","zinc white",,"1878","A4","A4P066AL17",,"no","no","no","no"
"Chinese White.","Chinese White.","zinc white : watercolour","Restricted","watercolour paint manufacture, notes on grinding, notes on heating, watercolour, tubes, quantities","zinc white",,"1879","A4","A4P067AL01",,"no","no","no","no"
"Liquid Indian Ink","Liquid Indian Ink","Indian ink","Restricted","ink, miscellaneous materials, notes on grinding, notes on soaking, quantities","Indian ink","R P [Rathbone Place]","1867","A4","A4P068AL01","costs","no","no","no","no"
"Liquid Carmine","Liquid Carmine","cochineal lake liquor",,"watercolour, watercolour paint manufacture","carmine ","R P [Rathbone Place]","1868","A4","A4P068AL12",,"no","no","no","no"
"Liquid Gold Ink","Liquid Gold Ink","ink : liquid gold","Restricted","ink, miscellaneous materials","""gold"" ink [bronze]","R P [Rathbone Place]","1868","A4","A4P069AL01",,"no","no","no","no"
"Illuminating Body","Illuminating Body","illuminating body",,"illuminating, miscellaneous materials, mixing instructions, notes on grinding, related recipies","myrbane, clay, soap","R P [Rathbone Place], Fox, Bousor's [?]","1867","A4","A4P069AL09",,"no","no","no","no"
"Tincture Myrbane","Tincture Myrbane","tincture of myrbane",,"miscellaneous materials, related recipies, illuminating","myrbane",,,"A4","A4P069BL04",,"no","no","no","no"
"Ultramarine Ash for Oil","Ultramarine Ash for Oil","ultramarine : second quality & ashes","Restricted","pigment manufacture, oil paint manufacture, notes on grinding, [costing], quantities, notes on people or companies","ultramarine ashes","Giangiacomo, A. H. N., R P [Rathbone Place]","1868","A4","A4P070AL01","costs","no","no","no","no"
"Ultramarine Making. [Giangiacomo's Process]","Ultramarine Making. [Giangiacomo's Process]","ultramarine : purification by kneading in paste","Restricted","pigment manufacture, notes on grinding, notes on heating, mixing instructions, notes on washing, notes on people or companies","ultramarine",,"1866","A4","A4P071AL01",,"no","no","no","no"
"Ultramarine Making. [Mr. Winsor's Process.]","Ultramarine Making. [Mr. Winsor's Process.]","ultramarine : purification by kneading in paste","Restricted","pigment manufacture, notes on grinding, notes on heating, mixing instructions, notes on people or companies","ultramarine","Mr Winsor","1862","A4","A4P074AL01",,"no","no","no","no"
"Miller's Glass Medium No. 1","Miller's Glass Medium No. 1","gum water","Restricted","medium manufacture, gum, related recipies","gum","Miller's, Beaufoy, Prof., South Lambeth, R P [Rathbone Place]","1868","A4","A4P077AL01",,"no","no","no","no"
"Miller's Glass Medium No. 2","Miller's Glass Medium No. 2","gum water","Restricted","medium manufacture, gum, related recipies","gum","R P [Rathbone Place], Miller's, Beaufoy, Prof., South Lambeth","1868","A4","A4P077AL10",,"no","no","no","no"
"Miller's Glass Medium For Oil","Miller's Glass Medium For Oil","Miller's glass medium for oil [unclear]",,"medium manufacture, oil paint manufacture, mixing instructions, suggested modifications, adulteration","megilp","R P [Rathbone Place], Miller's, A. H. N.","1868","A4","A4P078AL01",,"no","no","no","no"
"Miller's Liquid Indian Ink","Miller's Liquid Indian Ink","Indian ink","Restricted","ink, miscellaneous materials","Indian ink","Miller's, R P [Rathbone Place]","1868","A4","A4P079AL01",,"no","no","no","no"
"Appendix 5.","Appendix 5.","cover with title",,"cover page",,,,"A5","A5COVERL01",,"no","no","no","no"
"Ex: Ex: Lake Liquor","Ex: Ex: Lake Liq<em>uo</em>r","cochineal lake liquor",,"pigment manufacture, watercolour paint manufacture, notes on heating, notes on drying, quantities, notes on soaking","cochineal, lake","Howards","1879","A5","A5P001AL01",,"no","yes","no","no"
"Ex: Ex: Lake Liquor","Ex: Ex: Lake Liq<em>uo</em>r","cochineal lake liquor",,"pigment manufacture, watercolour paint manufacture, notes on heating, notes on soaking, quality evaluation, quantities","cochineal, lake",,"1879","A5","A5P003AL01",,"no","yes","no","no"
"Ex: Ex: Lake Liquor","Ex: Ex: Lake Liquor","cochineal lake liquor",,"pigment manufacture, watercolour paint manufacture, quantities, [costing], related recipies, labour costs","cochineal, lake",,"1879","A5","A5P005AL01","costs","no","no","no","no"
"Damp Scarlet Lake","Damp Scarlet Lake","mixed cochineal-vermilion pigment",,"pigment manufacture, related recipies, notes on heating, [costing], quantities, mixed pigments","cochineal, vermilion","L B [L Berger?] & Sons","1879","A5","A5P006AL01","costs","no","yes","no","no"
"Damp Scarlet Lake","Damp Scarlet Lake","body for mixed cochineal-vermilion pigment",,"watercolour paint manufacture, medium manufacture, related recipies, notes on soaking, chemical test, [costing]","body, cochineal",,"1879","A5","A5P006AL03","costs","no","no","no","no"
"Alumina from Soda","Alumina from Sod<em>a</em>","alumina",,"watercolour paint manufacture, [costing], quantities, medium manufacture, labour costs","alumina, chrome",,,"A5","A5P010AAL01","costs","no","no","no","no"
"White Earth","White Earth","white earth",,"watercolour paint manufacture, [costing], mixing instructions, notes on soaking, notes on drying, notes on heating","body, white earth",,"1879","A5","A5P010AL01","costs","no","no","no","no"
"Super Deep Chrome","Super Deep Chrome","deep chrome  pigment",,"pigment manufacture, chemical test, notes on heating, notes on drying, tools, equipment, quantities","deep chrome",,"1879","A5","A5P011AL01",,"no","no","no","no"
"Brown Pink for Water","Brown Pink for Water","quercitron yellow pigment",,"pigment manufacture, watercolour paint manufacture, notes on heating","quercitron yellow",,"1879","A5","A5P014AL01",,"no","no","no","no"
"Brown Pink for Water","Brown Pink for Water","quercitron yellow for watercolour",,"pigment manufacture, watercolour paint manufacture, notes on soaking, notes on heating, quantities, tools, equipment","quercitron yellow",,"1880","A5","A5P015AL15","costs","no","no","no","no"
"Brown Pink for Water","Brown Pink for Water","brown pink",,"pigment manufacture, notes on heating, quantities, [costing], suggested modifications, labour costs","brown pink",,"1880","A5","A5P018AL01","costs","no","no","no","no"
"M M Carr : Lake","M M Carr : Lake","cochineal lake pigment",,"pigment manufacture, mixed pigments, notes on heating, pigment selection, notes on washing, chemical test","cochineal, vermilion","L B [L Berger?] & Sons","1879","A5","A5P020AL01",,"no","yes","no","no"
"Chinese White","Chinese White","zinc white",,"pigment manufacture, tools, equipment, burning pigment, cleaning, [costing], labour costs","zinc white","Deveaux, C., & Co., Vielle Montaigne Company","1879","A5","A5P023AL01","costs","no","no","no","no"
"Best Lemon Chrome","Best Lemon Chrome","lemon chrome pigment",,"pigment manufacture, watercolour paint manufacture, chemical properties, chemical test, notes on heating, notes on drying","lemon chrome",,"1879","A5","A5P025AL01",,"no","no","no","no"
"Best Lemon Chrome","Best Lemon Chrome","lemon chrome pigment",,"pigment manufacture, watercolour paint manufacture, notes on soaking, notes on heating, related recipies, quantities","lemon chrome",,"1879","A5","A5P028AL01",,"no","yes","no","no"
"Chrome Liquor","Chrome Liquor","chrome liquor",,"pigment manufacture, notes on heating, chemical test, [costing], quantities, labour costs","chrome",,"1879","A5","A5P030AL01","costs","no","no","no","no"
"Best Deep Chrome:","Best Deep Chro<em>me</em>:","deep chrome  pigment",,"pigment manufacture, watercolour paint manufacture, notes on soaking, notes on heating, chemical test, notes on drying","deep chrome","Bellman & Ivey's","1873","A5","A5P031AL01",,"no","yes","no","no"
"Lead Liqour","Lead Liqour","lead liquor for best deep chrome",,"related recipies, watercolour paint manufacture, miscellaneous materials, notes on heating","lead liquor",,,"A5","A5P032BL01",,"no","no","no","no"
"Best Scarlet Chrome","Best Scarlet Chrome","chrome red",,"pigment manufacture, related recipies, notes on heating, notes on soaking, quantities, weather/ time of year","chrome red, lead liquor","Bellman & Ivey's","1879","A5","A5P034AL01",,"no","no","no","no"
"Lead Liquor","Lead Liquor","lead liquor",,"pigment manufacture, equipment design, notes on heating, quantities, [costing], tools, equipment","lake liquor","Parton, Mr",,"A5","A5P037AL01","costs","no","no","no","no"
"[untitled]","[untitled]","equipment design",,"equipment design, related recipies, question posed (not answered)","lead liquor","Parton, Mr",,"A5","A5P037BL01",,"no","no","no","no"
"Burmese Blue","Burmese Blue","body for Burmese blue",,"watercolour paint manufacture, miscellaneous materials, chemical test, related recipies, mixed pigments, notes on drying","Prussian blue, ultramarine, lake, alumina","L B [L Berger?] & Sons, Ehreus Perger & Co","1880","A5","A5P039AL03",,"no","no","no","no"
"True Blue","True Blue","mixed blue : ultramarine, cobalt stannate blue","Restricted","pigment manufacture, mixed pigments, notes on drying, quantities, related recipies","cobalt stannate blue, ultramarine, lake","Royal Saxon Blue Works, Stotz & Winter","1880","A5","A5P041AL01",,"no","no","no","no"
"True Blue","True Blue","mixed blue : ultramarine, cobalt stannate blue","Restricted","watercolour paint manufacture, mixed pigments, related recipies","ultramarine, cobalt stannate blue",,"1880","A5","A5P041AL15",,"no","no","no","no"
"True Blue","True Blue","mixed blue : ultramarine, cobalt stannate blue","Restricted","mixed pigments, related recipies, watercolour paint manufacture","ultramarine, cobalt stannate blue",,"1880","A5","A5P041AL19",,"no","no","no","no"
"Brown Pink. For Water, or Sale.","Brown Pink. For Water, or Sale.","quercitron yellow for watercolour",,"pigment manufacture, tools, equipment, notes on heating, related recipies, oil : misc.","quercitron yellow",,"1875","A5","A5P042AL01",,"no","no","no","no"
"Brown Pink. For Water, or Sale.","Brown Pink. For Water, or Sale.","quercitron yellow for watercolour",,"watercolour paint manufacture, related recipies, chemical test, notes on drying, quantities, oil paint manufacture","quercitron yellow",,"1875","A5","A5P043AL16",,"no","yes","no","no"
"Crimson Lake for Oil","Crimson Lake for Oil","crimson lake pigment",,"pigment manufacture, mixing instructions, notes on soaking, notes on drying, quantities, [costing]","crimson lake, cochineal",,"1879","A5","A5P045AL01","costs","no","no","no","no"
"Crimson Lake for Oil","Crimson Lake for Oil","crimson lake pigment",,"pigment manufacture, experiment, chemical test, notes on drying","crimson lake, cochineal, trial",,"1880","A5","A5P047AL01",,"no","no","no","no"
"Pure Scarlet","Pure Scarlet","[UNCLEAR]",,"pigment manufacture, notes on soaking, mixing instructions, chemical test","iodine","Huskinsson's, New River Coy's","1880","A5","A5P048AL01",,"no","no","no","no"
"Brown Pink for Water or Sale","Brown Pink for Water or Sale","quercitron yellow",,"pigment manufacture, related recipies, notes on heating, chemical test, notes on drying, [costing]","quercitron yellow",,"1875","A5","A5P051AL01","costs","no","no","no","no"
"Super Pale Chrome","Super Pale Chro<em>me</em>","pale chrome pigment",,"pigment manufacture, mixing instructions, chemical test, notes on soaking, notes on drying, quantities","pale chrome","Howards","1874","A5","A5P052AL01",,"no","no","no","no"
"Super Pale Chrome","Super Pale Chro<em>me</em>","pale chrome pigment",,"pigment manufacture, quantities, related recipies","pale chrome",,"1874","A5","A5P053AL01",,"no","no","no","no"
"Solution Nitrate Lead","Sol<em>ution </em>Nit<em>rate </em>Lead","nitrate of lead",,"miscellaneous materials, pigment manufacture, quantities, related recipies","nitrate of lead",,"1873","A5","A5P054AL01",,"no","no","no","no"
"Chrome Liquor","Chrome Liquor","chrome liquor",,"miscellaneous materials, pigment manufacture, notes on heating, related recipies, quantities","chrome",,"1873","A5","A5P054AL08",,"no","no","no","no"
"Chrome Liquor","Chrome Liquor","chrome liquor",,"miscellaneous materials, watercolour paint manufacture, related recipies","chrome",,"1867","A5","A5P054AL17",,"no","no","no","no"
"Solution Nitrate Lead","Sol<em>ution </em>Nit<em>rate </em>Lead","nitrate of lead",,"miscellaneous materials, related recipies, watercolour paint manufacture","nitrate of lead",,,"A5","A5P054BL01",,"no","no","no","no"
"Pale Chrome Washed for Water","Pale Chro<em>me </em>Washed for Water","pale chrome pigment",,"pigment manufacture, related recipies, notes on washing, notes on drying, quantities, terminology defined","pale chrome, chrome yellow",,,"A5","A5P055AL01",,"no","no","no","no"
"Super Pale Chrome","Super Pale Chro<em>me</em>","pale chrome pigment",,"pigment manufacture, mixing instructions, notes on washing, quantities","pale chrome","Old Factory","1867","A5","A5P056AL01",,"no","no","no","no"
"Pale Chrome Washed for Water","Pale Chro<em>me </em>Wash<em>e</em>d for Water","pale chrome pigment",,"pigment manufacture, watercolour cakes, moist colours, terminology defined, notes on drying","pale chrome",,"1868","A5","A5P057AL01",,"no","no","no","no"
"Super Middle Chrome","Super Midd<em>le </em>Chro<em>me</em>","chrome yellow pigment",,"pigment manufacture, notes on heating, chemical test, notes on washing, notes on drying","chrome yellow",,"1866","A5","A5P058AL01",,"no","no","no","no"
"Middle Chrome Washed for Water","Middle Chro<em>me </em>Washed for Water","chrome yellow pigment",,"pigment manufacture, watercolour cakes, moist colours, terminology defined, quantities, notes on drying","middle chrome, deep chrome",,"1868","A5","A5P061AL01",,"no","no","no","no"
"Crimson Lake for Oil","Crimson Lake for Oil","crimson lake pigment",,"pigment manufacture, notes on soaking, related recipies, suggested modifications, mixed pigments, notes on drying","crimson lake, cochineal, vermilion",,"1878","A5","A5P062AL01",,"no","no","no","no"
"Indian Purple","Indian Purple","cochineal lake pigment",,"pigment manufacture, notes on heating, notes on soaking, notes on drying, quantities","cochineal","Huskinsson's","1872","A5","A5P065AL01",,"no","no","no","no"
"Brown Madder","Brown Madder","madder brown pigment","Restricted","pigment manufacture, watercolour cakes, moist colours, watercolour paint manufacture, notes on drying, related recipies","madder brown","Huskinsson's","1864","A5","A5P067AL01",,"no","yes","no","no"
"Brown Madder","Brown Madder","madder brown pigment","Restricted","pigment manufacture, notes on washing, notes on drying, quantities","madder brown",,"1872","A5","A5P068AL01",,"no","no","no","no"
"Brown Madder","Brown Madder","madder brown pigment","Restricted","pigment manufacture, related recipies","brown madder",,"1873","A5","A5P068BL01",,"no","no","no","no"
"Zinc Green","Zinc Green","zinc green [mixed Prussian blue and chrome yellow]",,"pigment manufacture, mixed pigments, experiment, [costing], related recipies","zinc chromate, Prussian blue, zinc green deep, zinc green middle, zinc green pale, trial","L B's","1880","A5","A5P069AL01","prices","no","no","no","no"
"Extra Extra fine Scarlet Lake (or Finest Marblers)","Extra Extra fine Scarlet Lake (or Finest Marblers)","scarlet lake oil paint [mixed vermilion and cochineal ?]",,"pigment manufacture, related recipies, notes, notes on heating, notes on drying","cochineal lake pigment",,"1879","A5","A5P070AL01",,"no","no","no","no"
"Extra Extra fine Scarlet Lake (or Finest Marblers)","Extra Extra fine Scarlet Lake (or Finest Marblers)","body for scarlet lake oil paint [mixed vermilion and cochineal ?]",,"pigment manufacture, marbelling, chemical test, notes on heating",,,"1879","A5","A5P070AL04",,"no","no","no","no"
"Extra Extra fine Scarlet Lake (or Finest Marblers)","Extra Extra fine Scarlet Lake (or Finest Marblers)","body for scarlet lake oil paint [mixed vermilion and cochineal ?]",,"pigment manufacture, oil paint manufacture, related recipies, chemical test, notes on drying, mixed pigments","cochineal liquor, vermilion","L B [L Berger?] & Sons",,"A5","A5P072AL07",,"no","no","no","no"
"Extra Lake Liquor","Extra Lake Liquor","cochineal lake liquor",,"pigment manufacture, mixing instructions, quantities, quality evaluation","cochineal",,"1879","A5","A5P074AL01",,"no","yes","no","no"
"Lake Liquor","Lake Liquor","cochineal lake liquor",,"pigment manufacture, customers [people supplied TO]","cochineal","Scott, Cuthbertson & Co","1880","A5","A5P075AL01",,"no","yes","no","no"
"Rose Madder For Oil &c ","Rose Madder For Oil &amp;c","madder rose pigment","Restricted","pigment manufacture, oil paint manufacture, notes on drying","madder rose",,"1877","A5","A5P076AL01",,"no","no","no","no"
"Middle Chrome","Middle Chrome","chrome yellow pigment",,"pigment manufacture, notes on heating, tools, equipment, chemical test, notes on drying","middle chrome",,"1877","A5","A5P081AL01",,"no","no","no","no"
"untitled","untitled","[UNCLEAR]",,"UNCLEAR","chrome",,,"A5","A5P083AL06",,"no","no","no","no"
"Madder Lake","Madder Lake","madder lake (misc.)","Restricted","notes, lake manufacture","crop madder",,,"A5","A5P084AL01",,"no","no","no","no"
"Madder Lake","Madder Lake","madder lake (misc.)","Restricted","notes, pigment manufacture, pigment selection, medium properties","madder",,,"A5","A5P084AL07",,"no","no","no","no"
"Appendix 6.","Appendix 6.","cover with title",,"cover page",,,,"A6","A6COVERL01",,"no","no","no","no"
"Appendix. 6.","Appendix. 6.","[title page]",,,,,,"A6","A6F04L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INA1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INC1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INE1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6ING1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INI1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INL1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INN1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INP1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INR1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INT1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INW1L01",,"no","no","no","no"
"Index","Index","Index",,,,,,"A6","A6INZ1L01",,"no","no","no","no"
"Finest Carnation.","Finest Carnation.","finest carnation",,"pigment manufacture","cochineal","Beaufoy's","1879","A6","A6P001BL01","costs","no","yes","no","no"
"2nd quality Carnation","2nd q<em>ua</em>l<em>i</em>ty Carnation","Carnation: 2nd quality",,"pigment manufacture, experiment",,,"1880","A6","A6P003AL01",,"no","yes","no","no"
"Purple Lake.","Purple Lake.","purple cochineal lake pigment",,"pigment manufacture, experiment",,,,"A6","A6P004AL13",,"no","yes","no","no"
"Damp Crimson Lake","Damp Crimson Lake","damp lake",,"pigment manufacture","damp lake, crimson lake, cochineal",,"1879","A6","A6P006AL01",,"no","yes","yes","no"
"Genuine Primrose Chrome","Gen<em>ui</em>ne Primrose Chro<em>me</em>","chrome yellow pigment",,"experiment, pigment manufacture","chrome","Brown, H C[?], Ackermann, R., F. All[he?] & Sons","1880","A6","A6P008AL01",,"no","yes","no","no"
"Primrose Chrome","Primrose Chrome","chrome yellow pigment",,"experiment, pigment manufacture","chrome yellow, lemon chrome","Brandram Bros. & Co","1880","A6","A6P013BL01",,"no","no","no","no"
"Deep Chrome","Deep Chrome","chrome yellow pigment",,"experiment, pigment manufacture","chrome, chrome yellow, deep chrome",,"1880","A6","A6P015BL01",,"no","no","no","no"
"Pale Chrome","Pale Chrome","chrome yellow pigment",,"pigment manufacture","chrome, chrome yellow","Howards & Sons'","1880","A6","A6P016AL01",,"no","yes","no","no"
"Pale chrome","Pale chrome","pale chrome pigment",,"pigment manufacture","pale chrome, lemon chrome","Howards & Sons'","1880","A6","A6P017AL01",,"no","yes","no","no"
"Lithog Flake White","Lithog Flake White","lead white (experimental preparation)",,"experiment","lead white, lead pigments",,"1880","A6","A6P019AL01",,"yes","yes","no","no"
"Permanent Primrose","Permanent Primrose","chrome yellow pigment",,"experiment, pigment manufacture","chrome yellow","Charles & Fox","1880","A6","A6P020BL01",,"no","no","no","no"
"French Carmine","French Carmine","carmine",,"experiment, pigment manufacture","carmine , cochineal","A. Johnson, Howards","1880","A6","A6P024BL01",,"no","yes","no","no"
